year,count_point_id,direction_of_travel,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,measurement_count,avg_vehicles_per_hour
2020,7817,E,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,43,28,3223,6,1138,71,49,178,2,13,23,336,4731,12,394.2
2020,7817,W,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,38,32,3436,6,940,74,45,211,5,21,19,375,4789,12,399.1
2020,7818,N,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,20,34,8716,12,2173,181,49,63,17,45,51,406,11341,12,945.1
2020,7818,S,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A61,A6135,436000,381680,53.33083332,-1.46090438,6.1,3.79,17,38,8724,1,2181,185,43,65,8,54,49,404,11348,12,945.7
2020,16007,N,8,Yorkshire and The Humber,159,Sheffield,M1,Major,34,35,438000,393350,53.43558545,-1.42947621,4.8,2.98,0,62,23617,29,9172,1008,351,357,159,1162,1344,4381,37261,12,3105.1
2020,16007,S,8,Yorkshire and The Humber,159,Sheffield,M1,Major,34,35,438000,393350,53.43558545,-1.42947621,4.8,2.98,0,73,23932,33,8919,966,348,387,173,1199,1467,4540,37497,12,3124.8
2020,17718,E,8,Yorkshire and The Humber,159,Sheffield,A6109,Major,A6109 Attercliffe Road,A6102,438000,389800,53.40367781,-1.42990261,2.6,1.62,73,49,4989,61,1380,205,39,50,2,12,97,405,6884,12,573.7
2020,17718,W,8,Yorkshire and The Humber,159,Sheffield,A6109,Major,A6109 Attercliffe Road,A6102,438000,389800,53.40367781,-1.42990261,2.6,1.62,71,35,4283,57,1288,179,46,62,1,8,126,422,6085,12,507.1
2020,18546,N,8,Yorkshire and The Humber,159,Sheffield,A61,Major,A6102,A6102,433439,390512,53.41038454,-1.4984276,0.2,0.12,140,102,10572,152,2261,186,44,63,10,26,61,390,13477,12,1123.1
2020,18546,S,8,Yorkshire and The Humber,159,Sheffield,A61,Major,A6102,A6102,433439,390512,53.41038454,-1.4984276,0.2,0.12,202,102,11183,142,2223,200,46,56,8,33,67,410,14060,12,1171.7
2020,36588,E,8,Yorkshire and The Humber,159,Sheffield,A630,Major,A57,B6200 Handsworth Rd,440000,386740,53.37602686,-1.40020839,0.8,0.5,0,53,10797,54,3103,263,84,150,19,47,233,796,14803,12,1233.6
2020,36588,W,8,Yorkshire and The Humber,159,Sheffield,A630,Major,A57,B6200 Handsworth Rd,440000,386740,53.37602686,-1.40020839,0.8,0.5,0,43,9822,49,2707,266,89,133,15,30,196,729,13350,12,1112.5
2020,38549,N,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,A6102,A6102,438625,389670,53.40246399,-1.42051835,0.2,0.12,198,67,9106,70,2254,280,80,79,11,50,187,687,12184,12,1015.3
2020,38549,S,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,A6102,A6102,438625,389670,53.40246399,-1.42051835,0.2,0.12,162,66,8904,72,2206,320,76,195,10,57,184,842,12090,12,1007.5
2020,47396,N,8,Yorkshire and The Humber,159,Sheffield,A625,Major,B6375,A61,432840,384940,53.36033964,-1.50801417,5.8,3.6,203,42,10490,219,1121,73,10,8,2,23,3,119,11991,12,999.2
2020,47396,S,8,Yorkshire and The Humber,159,Sheffield,A625,Major,B6375,A61,432840,384940,53.36033964,-1.50801417,5.8,3.6,180,42,10679,217,1238,93,12,12,4,23,5,149,12325,12,1027.1
2020,48805,N,8,Yorkshire and The Humber,159,Sheffield,A61,Major,St Marys Rd,Matilda St,435530,386559,53.37471842,-1.4674153,0.2,0.12,58,17,2297,1,574,38,17,9,3,6,13,86,2975,12,247.9
