objectid,defrasiteid,x,y,lat,long,defrasitename,pcmlinkroadid,postcode,what3words,tube_group,status,no2_2003,no2_2004,no2_2005,no2_2006,no2_2007,no2_2008,no2_2009,no2_2010,no2_2011,no2_2012,no2_2013,no2_2014,no2_2015,no2_2016,no2_2017,no2_2018,no2_2019,no2_2020,no2_2021,no2_2022,no2_2023,no2_2024,no2_2025,no2_2026,no2_2027,no2_2028,no2_2029,no2_2030,no2_2031,no2_2032,no2_2033,no2_2034,no2_2035
1240,1,436063,397474,53.47277,-1.4581596,Warren lane SCC CW,7758,S35 2YA,tricking.coherent.shrug,City wide,Current,37,31,34,35,34,30,34,30,28,29,36,37,32,30,25.31666667,28,29,21.67942908,20.76243618,24.01728709,18.98154545,17.60945455,,,,,,,,,,,
1241,2,439994,390866,53.413094,-1.3997777,7 Bawtry Gate SCC CW, ,S9 1UB, ,City wide,Current,0,49,55,57,50,44,48,46,45,44,49,47,47,40,38.71,35,39,30.5561571,31.27587988,35.02840664,29.67766667,30.023,,,,,,,,,,,
1242,3,440045,390884,53.413252,-1.3990082,47 Bawtry Road SCC CW,17332,S9 1UA, ,City wide,Current,0,54,60,62,59,52,55,51,51,47,58,56,55,47,43.855,41,44,34.88046006,36.18092247,46.33646477,36.90616667,34.832,,,,,,,,,,,
1243,4,440177,390770,53.412217,-1.397037,109 Bawtry Road SCC CW,17332,S9 1UF, ,City wide,Current,0,46,51,53,47,43,48,42,43,43,48,49,47,41,38.38333333,33,35,28.15609004,28.08350441,33.82213728,27.23525,24.633,,,,,,,,,,,
1244,5,435749,386727,53.376196,-1.4641055,Suffolk Road SCC CW,8758 / 75195,S2 4BU, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.84948502,34.86777493,44.54093231,34.365,34.93636364,,,,,,,,,,,
1245,6,438880,389931,53.404773,-1.4166512,Attercliffe Road SCC CW, ,S9 2FH, ,City wide,Current,46,51,57,59,53,48,51,47,42,42,51,51,51,47,42.385,39,40,33.96617175,33.50448016,43.52757174,35.17475,33.236,,,,,,,,,,,
1246,7,435729,386513,53.374274,-1.4644302,"Pure Gym, St Mary's Road SCC CW",75196,S2 4BA, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.92342213,34.10347887,39.71326393,32.04108333,31.752,,,,,,,,,,,
1247,8,437164,387687,53.384727,-1.4427245,08/23 Parkway Layby 1  SCC CW,47855,S9 3LS, ,City wide,Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,58,44.10333119,45.47068894,58.28600284,38.7732,0,,,,,,,,,,,
1248,9,437703,390079,53.406189,-1.4343365,Upwell Street SCC CW,7817,S4 8AN, ,City wide,Current,47,45,50,52,48,40,45,45,36,39,46,44,43,42,35.28,35,38,32.87514523,33.63804449,35.28315187,34.58045455,32.774,,,,,,,,,,,
1249,10,439355,388385,53.390843,-1.4096992,Greenland Road 1 (Bus stop) SCC CW,18721,S9 5HG, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,24.5366992,26.27413387,33.13060824,29.91466667,25.837,,,,,,,,,,,
1250,11,432643,389427,53.400664,-1.510513,Loxley New Road SCC CW,77547,S6 4NG, ,City wide,Current,52,45,50,52,47,40,45,46,35,36,45,40,38,38,31.76833333,31,34,27.46990144,29.79272385,33.2407061,29.862,29.78181818,,,,,,,,,,,
1251,12,439312,388591,53.392697,-1.4103201,Greenland Road 2 (Robson) SCC CW, ,S9 5HE, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,33.11968723,32.24369379,42.30818935,32.64675,30.807,,,,,,,,,,,
1252,13,439051,386743,53.376107,-1.4144724,Bowden Wood Close SCC CW,58427,S9 4EN, ,City wide,Current,42,48,53,56,42,36,43,36,37,32,40,40,38,34,32.585,31,34,26.76653904,24.06969217,31.1711313,23.6842,24.003,,,,,,,,,,,
1253,14,436141,387521,53.383306,-1.4581229,Parkway  Broad Street SCC CW, ,S2 5TG, ,City wide,Current,44,46,51,53,52,43,41,44,40,41,52,47,45,42,38.93272727,37,38,30.53755301,31.84333228,37.96422633,30.86027273,30.2652,,,,,,,,,,,
1254,16,435639,388155,53.389038,-1.4655982,Derek Dooley Lampost 94 SCC CW,81236,S3 8HQ, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,35.34860038,38.11423192,46.21718432,37.288,34.706,,,,,,,,,,,
1255,17,436109,387458,53.382742,-1.4586111,Duke Street SCC CW, ,S2 5QA, ,City wide,Current,48,49,55,57,56,48,47,45,43,40,53,47,52,47,44.59,42,42,36.00628561,36.87275328,43.53290895,37.11563636,35.644,,,,,,,,,,,
1256,18,435744,387619,53.384214,-1.46408,Waingate SCC CW, ,S2 5TR, ,City wide,Current,61,49,54,56,55,51,62,59,53,52,70,60,54,49,45.97833333,40,47,42.26376728,44.3360016,54.85568659,47.02475,45.227,,,,,,,,,,,
1257,19,435687,387472,53.38293,-1.4645471,Fitzalan Square SCC CW, ,S1 2AZ, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,50.01236223,56.98970398,74.77918945,64.67227273,59.91490909,,,,,,,,,,,
1258,21,435546,387052,53.379131,-1.4671203,"Arundel Gate, Gallery SCC CW", ,S1 2LH, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,36.97140449,37.72054807,47.53113807,34.85336364,31.3656,,,,,,,,,,,
1259,22,433346,390814,53.413087,-1.4997941,Fielding Road SCC CW,47856,S6 1QA, ,City wide,Current,0,0,0,0,0,0,46,43,42,39,51,48,46,44,37.64833333,36,37,28.71888454,28.22255837,32.83747858,27.35554545,26.45236364,,,,,,,,,,,
1260,23,435608,387100,53.379558,-1.4661829,Arundel Gate/Surrey Street SCC CW, ,S1 1WB, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,30.30950773,34.10044568,39.95832537,32.69941667,36.288,,,,,,,,,,,
1261,24,434435,387394,53.382278,-1.4837834,University Roundabout SCC CW, ,S3 7HJ, ,City wide,Current,45,51,56,58,52,48,53,47,50,49,65,61,64,50,43.03833333,39,40,29.68304077,31.77024494,41.53592684,35.67508333,36.743,,,,,,,,,,,
1262,25,434646,387836,53.386237,-1.4805631,Netherthorpe School SCC CW, ,S3 7JE, ,City wide,Current,42,34,38,40,39,36,46,42,37,35,47,44,42,38,36.42333333,34,35,26.81359153,24.70116263,32.87676572,24.35175,23.079,,,,,,,,,,,
1263,26,434403,386966,53.378433,-1.4843109,Upper Hanover Street SCC CW,47860,S3 7RQ, ,City wide,Current,46,44,48,50,45,39,45,47,38,41,48,45,43,44,39.2,38,40,31.59986958,33.19729444,41.30633901,25.4775,24.514,,,,,,,,,,,
1264,27,435554,386638,53.375409,-1.4670464,Shoreham Street SCC CW,48805 / 75194,S1 4QF, ,City wide,Current,57,47,52,54,52,46,50,49,43,43,58,53,55,52,48.02,46,47,36.70770851,38.95469895,44.02200143,33.733,29.7696,,,,,,,,,,,
1265,28,435313,386367,53.372989,-1.470699,St Mary's Road/Charlotte Road SCC CW,8744 / 75197,S1 4TJ, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28.11934116,31.43954819,32.65743501,28.64408333,26.509,,,,,,,,,,,
1266,29,434814,383335,53.34577,-1.4785314,Chesterfield Road/Woodseats SCC CW,16581,S8 0RY, ,City wide,Current,49,45,49,51,45,38,44,46,38,40,52,48,45,44,36.505,35,36,25.92090719,28.90309748,27.87176096,27.50516667,26.13163636,,,,,,,,,,,
1267,30,435499,385690,53.366892,-1.4679792,Queens Road/Edmund Road SCC CW,27857,S2 4EN, ,City wide,Current,48,42,47,49,41,35,44,41,36,37,49,41,41,41,39.984,39,41,31.03384945,34.60628913,35.47786077,31.75141667,29.96509091,,,,,,,,,,,
1268,31,434324,384311,53.354574,-1.4857857,Abbeydale Rd/Carter Knowle SCC CW,27381,S7 2BQ, ,City wide,Current,47,44,48,50,43,40,42,42,39,39,51,47,44,44,40.58833333,38,38,30.76528269,31.70467199,38.94644671,31.679,29.19,,,,,,,,,,,
1269,32,434299,386275,53.372229,-1.4859489,Ecclesall Road SCC CW,47396,S11 8HA, ,City wide,Current,54,49,54,57,41,37,50,50,43,43,54,47,47,43,40.26166667,38,40,28.80009293,30.26578204,31.19287404,23.48933333,22.89381818,,,,,,,,,,,
1270,33,435602,387292,53.381284,-1.4662515,Arundel Gate Interchange SCC CW, ,S1 2PP, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,77,77,81,74,71.94833333,59,66,49.93067582,54.31098077,69.76960406,60.49425,54.208,,,,,,,,,,,
1271,34,435700,387256,53.381041,-1.4647295,Pond Street Interchange SCC CW, ,S1 2BG, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,63,59,60,49,48.51,45,50,36.51215749,39.31301622,49.36598129,38.36108333,39.3708,,,,,,,,,,,
1272,35,439116,391193,53.416099,-1.4129455,Meadowhall Interchange SCC CW, ,S9 1BW, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,46,49,45,42,39.445,38,37,31.83687152,32.50597195,35.65807296,33.79225,31.073,,,,,,,,,,,
1273,36,435950,387996,53.387588,-1.4609403,(GH4) ACE 1 Wicker SCC CW, ,S3 8JD, ,City wide,Current,36,32,36,37,33,29,32,31,30,28,38,33,32,32,29.155,28,29,23.61222073,23.48060196,26.59696899,21.46825,21.518,,,,,,,,,,,
1274,37,435951,387997,53.387597,-1.4609252,(GH4) ACE 2 Wicker SCC CW, ,S3 8JD, ,City wide,Archive,30,31,34,36,33,29,32,30,30,28,37,34,33,33,27.52166667,29,28,23.12345009,23.17314392,24.00807937,0,21.672,,,,,,,,,,,
1275,38,435463,386972,53.378417,-1.4683768,"Arundel Gate, Stoddart Building SCC CW", ,S1 2NJ, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,38.87723191,41.66092108,50.83236474,39.23008333,35.581,,,,,,,,,,,
1276,39,437104,388329,53.390502,-1.4435513,"Attercliffe Road, Arooj SCC CW",27393,S4 7WZ, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,33.63513333,33.67105666,37.95576592,30.79244444,29.52218182,,,,,,,,,,,
1277,40,440116,390800,53.412492,-1.3979508,98 Bawtry Road SCC CW,17332,S9 1UE, ,City wide,Current,0,51,57,59,51,48,55,47,45,44,56,51,52,49,42.54833333,41,43,33.41902689,35.06410632,39.8056795,30.20433333,30.33927273,,,,,,,,,,,
1278,42,437766,387454,53.38259,-1.433702,Parkway Layby 2 SCC CW,47855,S9 4WJ, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,47.84016867,47.59245364,59.84303893,46.08572727,44.268,,,,,,,,,,,
1279,43,436646,387756,53.385383,-1.4505039,Bernard Rd SCC CW, ,S2 5DD, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.27827455,41.321621,41.97773928,38.79618182,35.91,,,,,,,,,,,
1280,45,435789,388072,53.388282,-1.4633523,Derek Dooley Lamp post 93 SCC CW,81237,S3 8HQ, ,City wide,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28.28828121,29.57708095,35.65960498,27.75054545,26.768,,,,,,,,,,,
1281,49,435435,388020,53.387839,-1.4686805,STOPPED Bridgehouses Duplicate (Tube 1) SCC CW,81162,S3 8RW, ,City wide,Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32.38994387,31.53679512,41.94901462,33.78951012,0,,,,,,,,,,,
1282,53,431193,386795,53.377095,-1.5325793,Coldwell Lane/Sandygate Road LTP, ,S10 5UE, ,LTP funded,Current,0,26,27,26,25,25,26,22,22,24,24,23,23,20,18.59166667,18,19,14.57725115,13.943621,15.73659976,13.27265833,12.25231466,,,,,,,,,,,
1283,54,436276,389930,53.404913,-1.4558329,DEFRA Barnsley Road Co-located (Tube 1),17728,S5 7AA, ,LTP funded,Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.44315942,30.60546977,30.34601375,0,0,,,,,,,,,,,
1284,55,433013,386750,53.37658,-1.5052273,Manchester Road/Sale Hill LTP,77544,S10 3BL, ,LTP funded,Current,0,48,46,47,47,45,44,42,42,43,46,46,43,40,34.65545455,34,34,27.72722719,29.29526765,34.61758793,25.1615,25.70999138,,,,,,,,,,,
1285,56,433327,386862,53.377567,-1.5004958,Whitham Road/Crookes LTP,8144,S10 3BA, ,LTP funded,Current,0,57,54,57,61,58,56,53,51,54,54,56,58,47,46.075,42,44,34.66489698,38.20624871,44.6237563,32.25649,30.33923804,,,,,,,,,,,
1286,57,433514,387033,53.379092,-1.4976669,Whitham Road/Moor Oaks LTP,8144,S10 2SN, ,LTP funded,Current,0,48,50,52,52,52,54,50,52,48,50,48,50,42,36.69833333,36,38,30.10940948,33.58372633,38.24567091,26.9548,26.25087478,,,,,,,,,,,
1287,59,434048,387229,53.38082,-1.4896189,Western Bank/Clarkson Street LTP, ,S10 2TH, ,LTP funded,Current,0,53,50,45,51,49,51,48,49,47,50,48,51,47,45.59,44,42,37.15860427,41.22532395,45.92952533,34.60595,34.25086904,,,,,,,,,,,
1288,60,434352,387348,53.38187,-1.4850361,Brook Hill/Favell Road LTP,8144,S3 7RD, ,LTP funded,Current,0,46,52,51,45,41,40,40,39,37,41,42,38,33,29.98916667,31,32,26.0633324,28.27376509,31.88770562,22.2543,23.72779953,,,,,,,,,,,
1289,61,436276,389927,53.404922,-1.4558178,DEFRA Barnsley Road (Socotec 2) SCC CW, ,S4 8LA, ,LTP funded,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.09043204,34.14261863,28.76525904,32.09375,31.04945455,,,,,,,,,,,
1290,63,436277,389928,53.404931,-1.4558026,DEFRA Barnsley Road (Socotec 3) SCC CW, ,S4 8LA, ,LTP funded,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67997727,33.39158321,29.07171634,34.46554545,31.81309091,,,,,,,,,,,
1291,64,440233,390587,53.410568,-1.3962178,DEFRA Tinsley monitor (Tube 1) Socotec, ,S9 1WZ, ,LTP funded,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.55666667,23.60256805,24.79842471,20.65455,17.976,,,,,,,,,,,
1292,65,440234,390588,53.410577,-1.3962027,DEFRA Tinsley monitor (Tube 2) Socotec, ,S9 1WZ, ,LTP funded,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.59881843,23.25001629,26.98962644,23.58808333,18.61745455,,,,,,,,,,,
1293,66,440235,390589,53.410586,-1.3961875,DEFRA Tinsley monitor (Tube 3) Socotec, ,S9 1WZ, ,LTP funded,Current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.24666667,23.24497338,26.62488506,20.67166667,16.83054545,,,,,,,,,,,
1294,67,433429,386728,53.376356,-1.4989768,Glossop Road/Westbourne Road LTP, ,S10 2QH, ,LTP funded,Current,0,38,37,39,37,36,37,39,36,38,40,38,44,41,36.29416667,35,34,27.77873031,31.58805785,36.12256353,25.3432,26.72496692,,,,,,,,,,,
1295,68,433936,386893,53.377807,-1.4913385,Glossop Road/Clarkehouse Road LTP, ,S10 2HQ, ,LTP funded,Current,0,41,39,41,40,39,37,35,35,36,36,36,36,33,28.3725,30,29,24.50340427,25.20459059,28.41017112,21.17595,21.91691807,,,,,,,,,,,
1296,69,434574,387155,53.380121,-1.4817199,West Street/Regent Street LTP, ,S10 2HS, ,LTP funded,Current,0,45,47,43,48,42,44,44,40,44,47,43,43,37,34.59666667,35,37,26.6601751,28.71278072,32.43117041,25.06999167,25.12001498,,,,,,,,,,,
1297,70,435255,387349,53.38182,-1.4714615,West Street/Leopold Street LTP, ,S1 2GZ, ,LTP funded,Current,0,52,48,49,55,46,47,45,49,47,48,47,47,41,42.03333333,40,42,23.7935433,23.80107798,27.69617717,19.27528182,19.16188454,,,,,,,,,,,
1298,71,435807,386350,53.372803,-1.4632763,Queens Road - G Casino LTP,37898,S2 4DR, ,LTP funded,Current,0,0,0,52,59,52,50,50,48,50,53,52,49,45,43.12,45,44,37.75497719,38.05732008,41.80655841,30.77260543,34.59234063,,,,,,,,,,,
1299,72,435697,385892,53.368694,-1.4649811,Queens Road - Asda LTP,27857,S2 4DR, ,LTP funded,Current,0,0,0,45,48,41,41,40,40,42,47,46,45,44,40.35818182,40,37,31.62727198,34.85914114,35.63882689,27.57902969,30.78884636,,,,,,,,,,,
1300,73,435490,385660,53.366623,-1.4681178,463 Queens Road LTP,27857,S2 4DR, ,LTP funded,Current,0,0,0,61,64,53,57,52,57,57,65,62,60,55,53.165,50,51,42.33281138,43.94088454,50.63846507,37.75133565,42.03145226,,,,,,,,,,,
